,NAME,time,mean_monthly_temp,lot,lon
243,"KHARG, IR",2001-01-01T00:00:00.000000000,18.18858904058652,29.27,50.27
244,"ASALOYEH, IR",2001-01-01T00:00:00.000000000,18.746579255528445,27.48,52.62
245,"SHIRAZ SHAHID DASTGHAIB INTERNATIONAL, IR",2001-01-01T00:00:00.000000000,6.939147804240747,29.54,52.59
246,"PERSIAN GULF AIRPORT, IR",2001-01-01T00:00:00.000000000,-9999.99,27.37,52.73
247,"BANDAR ABBASS INTERNATIONAL, IR",2001-02-01T00:00:00.000000000,16.705979938984456,27.22,56.38
248,"ABADEH, IR",2001-02-01T00:00:00.000000000,3.178729640433005,31.18,52.67
249,"KERMAN, IR",2001-02-01T00:00:00.000000000,4.456818573647979,30.27,56.95
250,"RAFSANJAN, IR",2001-02-01T00:00:00.000000000,4.852630439332017,30.3,56.05
251,"LAMERD, IR",2001-02-01T00:00:00.000000000,14.325413989555159,27.37,53.19
252,"SIRJAN, IR",2001-02-01T00:00:00.000000000,6.005766973532559,29.47,55.72
253,"BUSHEHR, IR",2001-02-01T00:00:00.000000000,15.712969955791777,28.95,50.85
254,"YASOGE, IR",2001-02-01T00:00:00.000000000,3.294082278038843,30.67,51.58
255,"JAM, IR",2001-02-01T00:00:00.000000000,15.000284705412412,27.82,52.35
256,"BANDAR E DAYYER, IR",2001-02-01T00:00:00.000000000,16.19107307300868,27.83,51.93
257,"FASA, IR",2001-02-01T00:00:00.000000000,7.671285505164747,28.89,53.72
258,"LAR, IR",2001-02-01T00:00:00.000000000,11.680715819204181,27.67,54.38
259,"FARSI ISLAND, IR",2001-02-01T00:00:00.000000000,17.12908658744749,27.98,50.18
260,"BAFT, IR",2001-02-01T00:00:00.000000000,4.051400355108626,29.23,56.57
261,"GACHSARAN, IR",2001-02-01T00:00:00.000000000,10.869478684812009,30.34,50.83
262,"KHARG, IR",2001-02-01T00:00:00.000000000,16.146015689068065,29.27,50.27
263,"ASALOYEH, IR",2001-02-01T00:00:00.000000000,16.157499320467934,27.48,52.62
264,"SHIRAZ SHAHID DASTGHAIB INTERNATIONAL, IR",2001-02-01T00:00:00.000000000,5.5515435803336,29.54,52.59
265,"PERSIAN GULF AIRPORT, IR",2001-02-01T00:00:00.000000000,-9999.99,27.37,52.73
266,"BANDAR ABBASS INTERNATIONAL, IR",2001-03-01T00:00:00.000000000,18.6776002140669,27.22,56.38
267,"ABADEH, IR",2001-03-01T00:00:00.000000000,4.177214353525073,31.18,52.67
268,"KERMAN, IR",2001-03-01T00:00:00.000000000,6.582879163381449,30.27,56.95
269,"RAFSANJAN, IR",2001-03-01T00:00:00.000000000,6.767335622910537,30.3,56.05
270,"LAMERD, IR",2001-03-01T00:00:00.000000000,16.17282291556336,27.37,53.19
271,"SIRJAN, IR",2001-03-01T00:00:00.000000000,7.76779059287901,29.47,55.72
272,"BUSHEHR, IR",2001-03-01T00:00:00.000000000,16.312750603222582,28.95,50.85
273,"YASOGE, IR",2001-03-01T00:00:00.000000000,4.040819895725463,30.67,51.58
274,"JAM, IR",2001-03-01T00:00:00.000000000,16.53427410658651,27.82,52.35
275,"BANDAR E DAYYER, IR",2001-03-01T00:00:00.000000000,17.226512537531676,27.83,51.93
276,"FASA, IR",2001-03-01T00:00:00.000000000,9.448170756091542,28.89,53.72
277,"LAR, IR",2001-03-01T00:00:00.000000000,14.175312817498764,27.67,54.38
278,"FARSI ISLAND, IR",2001-03-01T00:00:00.000000000,17.277308798009358,27.98,50.18
279,"BAFT, IR",2001-03-01T00:00:00.000000000,5.863228768762099,29.23,56.57
280,"GACHSARAN, IR",2001-03-01T00:00:00.000000000,12.163921408141846,30.34,50.83
281,"KHARG, IR",2001-03-01T00:00:00.000000000,16.447047665892683,29.27,50.27
282,"ASALOYEH, IR",2001-03-01T00:00:00.000000000,17.517765829173527,27.48,52.62
283,"SHIRAZ SHAHID DASTGHAIB INTERNATIONAL, IR",2001-03-01T00:00:00.000000000,6.7479861689565155,29.54,52.59
284,"PERSIAN GULF AIRPORT, IR",2001-03-01T00:00:00.000000000,-9999.99,27.37,52.73
285,"BANDAR ABBASS INTERNATIONAL, IR",2001-04-01T00:00:00.000000000,22.553059024035406,27.22,56.38
286,"ABADEH, IR",2001-04-01T00:00:00.000000000,9.836119625404535,31.18,52.67
287,"KERMAN, IR",2001-04-01T00:00:00.000000000,11.646720541538514,30.27,56.95
